### 资产头寸统计表
批次日期:2025-12-01 | 截止付款日期:2026-01-07

| 项目名称               | 合计金额     | 申请单号          |
|------------------------|--------------|-------------------|
| 批次:2025-12-01 截止日期:2026-01-07 | -            | -                 |
| 数据源-数据成本        | 3497004.83   | -                 |
| 互联网-互联网线路服务费 | 5462233.28   | -                 |
| 互联网-业务宣传费      | 2123445.92   | -                 |
| 办公费                 | 4912.00      | -                 |
| 房租                   | 192279.48    | -                 |
| 服务费                 | 1303269.91   | -                 |
| 培训费                 | 380000.00    | -                 |
| 物业管理费             | 19171.08     | -                 |
| 服务费+房租            | 8953.65      | e-KFQT-202512-00043 |
| 境内合计               | 12649270.15  | -                 |
| 房租-HKD               | 17500.00     | -                 |
| 服务费-HKD             | 555594.00    | -                 |
| 服务费-USD             | 91271.71     | -                 |
| 付款笔数               | 境内65笔、境外5笔 | -                 |

请你帮我分析以上数据，指出需要关注的问题。
